country,lvl1,lvl2,lvl3
Brasil,Goiás,Abadia de Goiás,
Brasil,Minas Gerais,Abadia dos Dourados,
Brasil,Goiás,Abadiânia,
Brasil,Minas Gerais,Abaeté,
Brasil,Pará,Abaetetuba,
Brasil,Ceará,Abaiara,
Brasil,Bahia,Abaíra,
Brasil,Bahia,Abaré,
Brasil,Paraná,Abatiá,
Brasil,Santa Catarina,Abdon Batista,
Brasil,Pará,Abel Figueiredo,
Brasil,Santa Catarina,Abelardo Luz,
Brasil,Minas Gerais,Abre Campo,
Brasil,Pernambuco,Abreu e Lima,
Brasil,Tocantins,Abreulândia,
Brasil,Minas Gerais,Acaiaca,
Brasil,Maranhão,Açailândia,
Brasil,Bahia,Acajutiba,
Brasil,Pará,Acará,
Brasil,Ceará,Acarape,
Brasil,Ceará,Acaraú,
Brasil,Rio Grande do Norte,Acari,
Brasil,Piauí,Acauã,
Brasil,Rio Grande do Sul,Aceguá,
Brasil,Ceará,Acopiara,
Brasil,Mato Grosso,Acorizal,
Brasil,Acre,Acrelândia,
Brasil,Goiás,Acreúna,
Brasil,Rio Grande do Norte,Açu,
Brasil,Minas Gerais,Açucena,
Brasil,São Paulo,Adamantina,
Brasil,Goiás,Adelândia,
Brasil,São Paulo,Adolfo,
Brasil,Paraná,Adrianópolis,
Brasil,Bahia,Adustina,
Brasil,Pernambuco,Afogados da Ingazeira,
Brasil,Rio Grande do Norte,Afonso Bezerra,
Brasil,Espírito Santo,Afonso Cláudio,
Brasil,Maranhão,Afonso Cunha,
Brasil,Pernambuco,Afrânio,
Brasil,Pará,Afuá,
Brasil,Pernambuco,Agrestina,
Brasil,Piauí,Agricolândia,
Brasil,Santa Catarina,Agrolândia,
Brasil,Santa Catarina,Agronômica,
Brasil,Pará,Água Azul do Norte,
Brasil,Minas Gerais,Água Boa,
Brasil,Mato Grosso,Água Boa,
Brasil,Piauí,Água Branca,
Brasil,Paraíba,Água Branca,
Brasil,Alagoas,Água Branca,
Brasil,Mato Grosso do Sul,Água Clara,
Brasil,Minas Gerais,Água Comprida,
Brasil,Santa Catarina,Água Doce,
Brasil,Maranhão,Água Doce do Maranhão,
Brasil,Espírito Santo,Água Doce do Norte,
Brasil,Bahia,Água Fria,
Brasil,Goiás,Água Fria de Goiás,
Brasil,Goiás,Água Limpa,
Brasil,Rio Grande do Norte,Água Nova,
Brasil,Pernambuco,Água Preta,
Brasil,Rio Grande do Sul,Água Santa,
Brasil,São Paulo,Aguaí,
Brasil,Minas Gerais,Aguanil,
Brasil,Pernambuco,Águas Belas,
Brasil,São Paulo,Águas da Prata,
Brasil,Santa Catarina,Águas de Chapecó,
Brasil,São Paulo,Águas de Lindóia,
Brasil,São Paulo,Águas de Santa Bárbara,
Brasil,São Paulo,Águas de São Pedro,
Brasil,Minas Gerais,Águas Formosas,
Brasil,Santa Catarina,Águas Frias,
Brasil,Goiás,Águas Lindas de Goiás,
Brasil,Santa Catarina,Águas Mornas,
Brasil,Minas Gerais,Águas Vermelhas,
Brasil,Rio Grande do Sul,Agudo,
Brasil,São Paulo,Agudos,
Brasil,Paraná,Agudos do Sul,
Brasil,Espírito Santo,Águia Branca,
Brasil,Paraíba,Aguiar,
Brasil,Tocantins,Aguiarnópolis,
Brasil,Minas Gerais,Aimorés,
Brasil,Bahia,Aiquara,
Brasil,Ceará,Aiuaba,
Brasil,Minas Gerais,Aiuruoca,
Brasil,Rio Grande do Sul,Ajuricaba,
Brasil,Minas Gerais,Alagoa,
Brasil,Paraíba,Alagoa Grande,
Brasil,Paraíba,Alagoa Nova,
Brasil,Paraíba,Alagoinha,
Brasil,Pernambuco,Alagoinha,
Brasil,Piauí,Alagoinha do Piauí,
Brasil,Bahia,Alagoinhas,
Brasil,São Paulo,Alambari,
Brasil,Minas Gerais,Albertina,
Brasil,Maranhão,Alcântara,
Brasil,Ceará,Alcântaras,
Brasil,Paraíba,Alcantil,
Brasil,Mato Grosso do Sul,Alcinópolis,
Brasil,Bahia,Alcobaça,
Brasil,Maranhão,Aldeias Altas,
Brasil,Rio Grande do Sul,Alecrim,
Brasil,Espírito Santo,Alegre,
Brasil,Rio Grande do Sul,Alegrete,
Brasil,Piauí,Alegrete do Piauí,
